,latitude,longitude
0,52.39316451009046,4.8369445301764245
1,40.54122399563957,-74.47053697634048
2,40.702365371725705,-74.01216195617438
3,33.8091430178886,-118.05891604072363
4,47.55216917374739,7.603122195044136
5,32.717556996605154,-117.15972298623981
6,54.90378578421837,23.957900891060888
7,36.00053200777644,-115.11100496869115
8,39.93650000000008,116.49930000000006
9,52.36993000000007,4.907880000000034
10,48.16996422045398,17.07146427457755
11,40.7373089812404,-74.02834003513136
12,37.2153700176698,-93.29523999863082
13,37.495100000000036,127.06278000000009
14,51.54031998549604,-0.1478499826732218
15,24.010100000000023,121.61760000000004
16,39.90750000000003,116.39723000000004
17,51.52391999565248,-0.11507003573470342
18,51.8329999930379,-1.3102499681106963
19,34.191230020574864,-118.92779502036413
20,40.749939419678384,-73.99195301998031
21,51.81094917553057,4.665784977686485
22,51.53363639518987,-0.12159627699634644
23,46.22820000000007,6.104030000000023
24,51.8329999930379,-1.3102499681106963
25,40.72569790795711,-74.00487556774397
26,35.65966439696945,139.7453051618046
27,51.75811585915474,-1.267349544809591
28,48.232155050259166,16.375811238016837
29,51.8329999930379,-1.3102499681106963
30,51.5230300051733,-0.1391799934856408
31,49.424739987321544,8.656870000370247
32,37.568260000000066,126.97783000000004
33,52.39428227878841,4.8671705112174095
34,51.5230300051733,-0.1391799934856408
35,30.29365000000007,120.16142000000002
36,8.939604460000055,-79.97292613699994
37,51.896009986240415,-0.2034400218182384
38,39.947270979148925,-75.15053303686462
39,47.64188998734667,26.245719988944813
40,39.90486999037901,32.8586000357096
41,1.330333930128404,103.75706668186797
42,32.717556996605154,-117.15972298623981
43,38.90998967406804,-77.04556223798802
44,47.18855425118866,8.472069235738388
45,51.62132708254077,-1.30019038996772
46,48.866020007462254,2.351969993837173
47,38.90020149708735,-77.02840356017855
48,39.90750000000003,116.39723000000004
49,42.27132998978314,-70.95160003330167
50,47.05872062441651,15.45834764293401
51,39.90750000000003,116.39723000000004
52,49.554950000000076,8.670860000000062
53,48.1425699815818,11.549169994680767
54,46.519600000000025,6.632220000000075
55,40.754391425640506,-73.97678035030923
56,25.039850000000058,121.61736000000008
57,51.4508098056135,-2.5846705996380295
58,40.785220526524455,-73.42270612410395
59,47.54880000000003,7.587810000000047
60,37.789256003587155,-122.40243603587264
61,39.90750000000003,116.39723000000004
62,35.58853265000005,139.63501459000008
63,28.62957998115084,77.2251200383646
64,53.84076000835782,-1.8232500189092207
65,37.52114000000006,127.03512
66,51.53363639518987,-0.12159627699634644
67,40.29203102006207,-76.6346110201602
68,51.526699979569145,-0.08117001507486066
69,14.181880000000035,121.22521000000006
70,51.50594001706034,-0.13241001410986541
71,46.05062000000004,14.502820000000042
72,35.72484744047972,139.76048654865497
73,38.893070928236966,-77.0477733840457
74,39.90750000000003,116.39723000000004
75,43.66585001985814,-79.30925000426791
